comic_no,Book Title,Issue,Vol,Month,Year,genre,link,our_idx,img_folderpath,_old_comic_no,
0,Blue Bolt: The Golden Horse,2,10,Sep,1949,superhero|vigilante,https://digitalcomicmuseum.com/index.php?dlid=16948,0,,3451,
1,Dick Cole - Blue Bolt: Liberty or Death,1,3,Jun,1949,superhero|vigilante,https://digitalcomicmuseum.com/index.php?dlid=12336,1,,3452,
2,Dick Cole - Blue Bolt: Private Moneybags,3,5,Dec,1944,superhero|vigilante,https://digitalcomicmuseum.com/index.php?dlid=13388,2,,3453,
3,Dick Cole - Blue Bolt: Wonder Boy,7,2,Dec,1941,superhero|vigilante,https://digitalcomicmuseum.com/index.php?dlid=19577,3,,3454,
4,Dick Cole - Blue Bolt: Old Cap Hawkins' True Tales,7,5,Apr,1945,superhero|vigilante,https://digitalcomicmuseum.com/index.php?dlid=16907,4,,3455,
5,Blue Bolt: Fearless Fellers,7,8,Dec,1947,superhero|vigilante,https://digitalcomicmuseum.com/index.php?dlid=19041,5,,3456,
6,Dick Cole - Blue Bolt: The Great Jero,9,4,Apr,1944,superhero|adventure,https://digitalcomicmuseum.com/index.php?dlid=29337,6,,3457,
7,Lightning Man - Blue Bolt: The Green Sorceress and the Cyclotron,2,1,July,1940,superhero|adventure,https://digitalcomicmuseum.com/index.php?dlid=32062,7,,3458,
8,Barb Riders: The Cowboy and the 'Copter,1,1,Jan,1951,western,https://digitalcomicmuseum.com/index.php?dlid=30406,8,,3459,
9,Straight Arrow: Giant-Killer!,1,1,Sep,1951,western,https://digitalcomicmuseum.com/index.php?dlid=24348,9,,3460,
10,Boy - Crimebuster,34,1,Jun,1947,adventure|detective|romance|superhero,https://digitalcomicmuseum.com/index.php?dlid=21637,10,,3461,
11,Boy - Detective: Death Trap,4,1,Jun,1952,detective|thriller,https://digitalcomicmuseum.com/index.php?dlid=2997,11,,3462,
12,Brenda Starr - Silver lining in sun valley,3,1,Jun,1948,romance|adventure|female,https://digitalcomicmuseum.com/index.php?dlid=17730,12,,3463,
13,Brenda Starr - Shopping for Trouble,,,Jul,1949,romance|adventure|detective|female,https://digitalcomicmuseum.com/index.php?dlid=18306,13,,3464,
14,Brenda Starr -The Great Penicillin Plot,,,Aug,1949,romance|adventure|detective|female,https://digitalcomicmuseum.com/index.php?dlid=19525,14,,3465,
15,Brenda Starr - Assignment Preferred,,,Sep,1947,romance|adventure|detective|female,https://digitalcomicmuseum.com/index.php?dlid=18751,15,,3466,
16,Broncho Bill - Justice on the Range,,,Jan,1950,Western,https://digitalcomicmuseum.com/index.php?dlid=16452,16,,3467,
17,Black Terror - The Dream Maker,,,Mar,1948,Superhero,https://digitalcomicmuseum.com/index.php?dlid=10115,17,,3468,
18,Buster Crabbe and the Maid of mars,,,July,1952,Western,https://digitalcomicmuseum.com/index.php?dlid=14737,18,,3469,
19,Captain Marvel Jr - Bird of Doom,,,Apr,1944,superhero|humour,https://digitalcomicmuseum.com/index.php?dlid=21150,19,,3470,
20,Captain Marvel Jr - The hunt for treasure,,,Jun,1947,superhero|humour,https://www.mycomicshop.com/search?IID=7044521,20,,3471,
21,Captain Marvel Jr - The acrobat death trap,,,Mar,1947,superhero|humour,https://comicvine.gamespot.com/captain-marvel-jr-47-the-acrobats-death-trap/4000-220277/,21,,3472,
22,Captain Marvel Jr - Voodoo Clock,,,,1949,superhero|humour,https://www.abebooks.com/comics/Captain-Marvel-%2378-1949--Fawcett-Golden/22845815226/bd,22,,3473,
23,Captain Marvel Jr - Keep the Liberty Bell Ringing,,,Jul,1944,superhero|humour,https://digitalcomicmuseum.com/index.php?dlid=18430,23,,3474,
24,Captain Marvel Jr - Irresistible Sword,,,Sep,1949,superhero|humour,https://comicvine.gamespot.com/captain-marvel-jr-77-the-irresistible-sword/4000-220293/,24,,3475,
25,Captain Science - Space Pirates,,,Feb,1951,scifi|adventure|superhero,https://digitalcomicmuseum.com/index.php?dlid=12232,25,,3476,
26,Captain Science - Mental Monsters,,,Apr,1951,scifi|adventure|superhero,https://digitalcomicmuseum.com/index.php?dlid=9551,26,,3477,
27,Captain Science - Martian Salvers,,,Jun,1951,scifi|adventure|superhero,https://digitalcomicmuseum.com/index.php?dlid=12233,27,,3478,
28,Captain Science - Spawn of Pathor,,,Oct,1951,scifi|adventure|superhero,https://digitalcomicmuseum.com/index.php?dlid=20944,28,,3479,
29,Captain Steven Savage - Fight to Kill,,,Oct,1952,war,https://digitalcomicmuseum.com/index.php?dlid=2916,29,,3480,
30,CatMan and the Kitten,,,Jul,1943,adventure|crime|superhero,https://digitalcomicmuseum.com/index.php?dlid=12792,30,,3481,
31,Catman - Deacon,,2,May,1942,adventure|crime|superhero,https://digitalcomicmuseum.com/index.php?dlid=18739,31,,3482,
32,Catman -The Story of Rosetta,,,Apr,1945,adventure|crime|superhero,https://digitalcomicmuseum.com/index.php?dlid=18653,32,,3483,
33,Catman - The Blitzkrieg Crime,,1,Dec,1941,adventure|crime|superhero,https://digitalcomicmuseum.com/index.php?dlid=18615,33,,3484,
34,Cowgirl Romances -  Ride Fast for Wyoming,,,,1950,romance|western|female,https://digitalcomicmuseum.com/index.php?dlid=9064,34,,3485,
35,"Champion Comics - Neptina, Scrab",,,Dec,1939,adventure|superhero|children,https://digitalcomicmuseum.com/index.php?dlid=16935,35,,3486,
36,Charlie Chan - The Antique Burglar,,1,Dec,1949,detective|mystery,https://digitalcomicmuseum.com/index.php?dlid=20065,36,,3487,
37,Charlie Chan - The secret of smuggled silk,,1,Nov,1948,detective|mystery,https://digitalcomicmuseum.com/index.php?dlid=23088,37,,3488,
38,Charlie Chan - The hit and run murder case,,1,Jun,1948,detective|mystery,https://digitalcomicmuseum.com/index.php?dlid=14493,38,,3489,
39,Champion Comics - Human Meteor,,,Apr,1943,adventure|superhero|children,https://digitalcomicmuseum.com/index.php?dlid=10432,39,,3490,
40,Cinderella Love - yesterdays love,,,,1953,romance|female,https://digitalcomicmuseum.com/index.php?dlid=4879,40,,3491,
41,Cow Puncher - Devils Scourge,,,May,1948,western,https://digitalcomicmuseum.com/index.php?dlid=27548,41,,3492,
42,Cowgirl Romances -  Love is where you find it,,,Sep,1952,romance|western|female,https://digitalcomicmuseum.com/index.php?dlid=19396,42,,3493,
43,Crack Comics - Black Condor and The Clock,,,Jan,1941,detective|mystery|superhero|humor,https://digitalcomicmuseum.com/index.php?dlid=5913,43,,3494,
44,Crack Comics - Spitfire,,,Sep,1942,detective|mystery|superhero|humor|aviation,https://digitalcomicmuseum.com/index.php?dlid=24589,44,,3495,
45,Crack Comics - dairy of a dictator,,,Dec,1943,detective|mystery|superhero|humor|aviation,https://digitalcomicmuseum.com/index.php?dlid=21449,45,,3496,
46,Crack Comics - Captain Triumph,,,Apr,1944,detective|mystery|superhero|humor|aviation,https://digitalcomicmuseum.com/index.php?dlid=31418,46,,3497,
47,Crack Comics - Crime over the city,,,Sep,1945,detective|mystery|superhero|humor|aviation,https://digitalcomicmuseum.com/index.php?dlid=21510,47,,3498,
48,Crack Comics - Werewolves war,,,Nov,1947,detective|mystery|superhero|humor|aviation,https://digitalcomicmuseum.com/index.php?dlid=13433,48,,3499,
49,Crack Comics - The man who robbed the dead,,,Mar,1948,detective|mystery|superhero|humor|aviation,https://digitalcomicmuseum.com/index.php?dlid=13570,49,,3500,
50,Crack Western - War of renegade rails,,,Nov,1949,western|adventure,https://digitalcomicmuseum.com/index.php?dlid=19493,50,,3501,
51,Crack Western - Mexican Massacare,,,Sep,1952,western|adventure,https://digitalcomicmuseum.com/index.php?dlid=19566,51,,3502,
52,Crackajack Funnies - Ellery Queen,,,Jul,1940,detective|mystery|humor|adventure|superhero|aviation,https://digitalcomicmuseum.com/index.php?dlid=18880,52,,3503,
53,Crackajack Funnies - Kidnapping of Bell Wayne,,,Sep,1940,detective|mystery|humor|adventure|superhero|aviation,https://digitalcomicmuseum.com/index.php?dlid=23070,53,,3504,
54,Crash Comics - Strongman - Illegal Raider Ship,,,May,1940,superhero|detective|jungle,https://digitalcomicmuseum.com/index.php?dlid=22427,54,,3505,
55,Crimes by Women - Belle Gunness,,,Aug,1948,non-finction|crime|Female,https://digitalcomicmuseum.com/index.php?dlid=22087,55,,3506,
56,Daredevil - Criminals have no conscience,,,May,1946,superhero|detective|crime,https://digitalcomicmuseum.com/index.php?dlid=24344,56,,3507,
57,Dollman - Wanted for Sabotage,,,Oct,1942,superhero|humor,https://digitalcomicmuseum.com/index.php?dlid=21086,57,,3508,
58,Dollman - Robe of Lucifer,,,Sep,1947,superhero|humor,https://digitalcomicmuseum.com/index.php?dlid=984,58,,3509,
59,Dollman - Redskins scalp crime,,,Sep,1948,superhero|humor,https://digitalcomicmuseum.com/index.php?dlid=985,59,,3510,
60,Dollman - Silver Dollar,,,Jul,1948,superhero|humor,https://digitalcomicmuseum.com/index.php?dlid=16789,60,,3511,
